kind,detail
dup_disagree,"2011-01-01|[4.0, -3.0]"
dup_disagree,"2010-01-01|[15.0, 8.0]"
dup_disagree,"2009-01-01|[-42.0, -32.0]"
dup_disagree,"2008-09-01|[-7.0, -8.0]"
chain_break,2021-05-01|23.0|26.0
chain_break,2021-04-01|17.0|15.0
chain_break,2021-03-01|18.0|16.0
chain_break,2015-07-01|8.0|10.0
chain_break,2013-09-01|4.0|6.0
chain_break,2011-01-01|-3.0|6.0
chain_break,2010-01-01|8.0|19.0
chain_break,2009-02-01|-32.0|-42.0
chain_break,2009-01-01|-7.0|-20.0
chain_break,2008-03-01|6.0|-4.0
chain_break,2000-06-01|-3.0|0.0
