date,level,source
2012-02-01,95.5,scraped
2014-01-01,103.3,scraped
2015-05-01,102.4,scraped
2015-06-01,95.3,scraped
2016-03-01,99.1,scraped
2017-02-01,99.6,scraped
2017-04-01,99.0,scraped
2020-06-01,93.7,scraped
2020-08-01,79.5,scraped
2020-09-01,93.8,scraped
2020-10-01,105.0,scraped
2022-01-01,93.4,scraped
2024-06-01,83.6,report_jun2026
2025-06-01,92.6,report_jun2026
2026-05-01,83.0,report_jun2026
2026-06-01,80.6,report_jun2026
1990-11-01,64.6,tradingeconomics
2001-12-01,108.5,wayback_melbinst_20050416
2002-07-01,109.9,wayback_melbinst_20050416
2002-08-01,105.6,wayback_melbinst_20050416
2002-09-01,108.5,wayback_melbinst_20050416
2002-10-01,102.3,wayback_melbinst_20050416
2002-11-01,107.2,wayback_melbinst_20050416
2004-02-01,118.7,wayback_melbinst_20050416
2007-05-01,123.9,tradingeconomics
