Year,Month,S&P/ASX 200 price index
2026,May,8731.7
2026,April,8665.8
2026,March,8481.8
2026,February,9198.6
2026,January,8869.1
2025,December,8714.3
2025,November,8614.1
2025,October,8881.9
2025,September,8848.8
2025,August,8973.1
2025,July,8742.8
2025,June,8542.3
2025,May,8434.7
2025,April,8126.2
2025,March,7843.4
2025,February,8172.4
2025,January,8532.3
2024,December,8159.1
2024,November,8436.2
2024,October,8160
2024,September,8269.8
2024,August,"8,091.90"
2024,July,"8,092.30"
2024,June,"7,767.50"
2024,May,"7,701.70"
2024,April,"7,664.10"
2024,March,"7,896.90"
2024,February,"7,698.70"
2024,January,"7,680.70"
2023,December,7590.8
2023,November,7087.3
2023,October,6780.7
2023,September,7084.6
2023,August,7305.3
2023,July,7410.4
2023,June,7203.3
2023,May,7091.3
2023,April,7309.2
2023,March,7177.8
2023,February,7258.4
2023,January,7476.7
2022,December,7038.7
2022,November,7284.2
2022,October,6863.5
2022,September,6474.2
2022,August,6986.8
2022,July,6945.21
2022,June,6568.1
2022,May,7211.2
2022,April,7435
2022,March,7499.6
2022,February,7049.1
2022,January,6971.6
2021,December,7444.6
2021,November,7256
2021,October,7323.7
2021,September,7332.2
2021,August,7534.9
2021,July,7392.6
2021,June,7313
2021,May,7161.6
2021,April,7025.8
2021,March,6790.7
2021,February,6673.3
2021,January,6607.4
2020,Dec'20,6587.1
2020,Nov'20,6517.8
2020,Oct'20,5927.6
2020,Sep'20,5815.9
2020,Aug'20,6060.5
2020,Jul'20,5927.8
2020,Jun'20,5897.9
2020,May'20,5755.7
2020,Apr'20,5522.4
2020,Mar'20,5076.8
2020,Feb'20,6441.2
2020,Jan'20,7017.2
2019,Dec'19,6684.1
2019,Nov'19,6845.9
2019,Oct'19,6663.4
2019,Sep'19,6688.3
2019,Aug'19,6604.2
2019,Jul'19,6812.6
2019,Jun'19,6618.8
2019,May'19,6396.9
2019,Apr'19,6325.5
2019,Mar'19,6180.7
2019,Feb'19,6169
2019,Jan'19,5864.7
2018,Dec'18,5646.4
2018,Nov-18,5667.2
2018,Oct-18,5830.3
2018,Sep-18,6207.6
2018,Aug-18,6319.5
2018,Jul-18,6280.2
2018,Jun-18,6194.6
2018,May-18,6011.9
2018,Apr-18,5982.7
2018,Mar-18,5759.4
2018,Feb-18,6015.9
2018,Jan-18,6037.7
2017,Dec-17,6065.3
2017,Nov-17,5969.9
2017,Oct-17,5909
2017,Sep-17,5681.6
2017,Aug-17,5714.5
2017,Jul-17,5720.6
2017,Jun-17,5721.5
2017,May-17,5724.6
2017,Apr-17,5924.1
2017,Mar-17,5864.9
2017,Feb-17,5712.2
2017,Jan-17,5620.9
2016,Dec-16,5665.8
2016,Nov-16,5440.5
2016,Oct-16,5317.7
2016,Sep-16,5435.9
2016,Aug-16,5433
2016,Jul-16,5562.4
2016,Jun-16,5233.4
2016,May-16,5378.6
2016,Apr-16,5252.2
2016,Mar-16,5082.8
2016,Feb-16,4880.9
2016,Jan-16,5005.5
2015,Dec-15,5295.9
2015,Nov-15,5166.5
2015,Oct-15,5239.4
2015,Sep-15,5021.6
2015,Aug-15,5207
2015,Jul-15,5699.2
2015,Jun-15,5459
2015,May-15,5777.2
2015,Apr-15,5789.98
2015,Mar-15,5891.5
2015,Feb-15,5928.8
2015,Jan-15,5588.3
2014,Dec-14,5411
2014,Nov-14,5313
2014,Oct-14,5526.6
2014,Sep-14,5292.8
2014,Aug-14,5625.9
2014,Jul-14,5623.9
2014,Jun-14,5395.7
2014,May-14,5492.5
2014,Apr-14,5489.1
2014,Mar-14,5394.8
2014,Feb-14,5404.8
2014,Jan-14,5190
2013,Dec-13,5352.2
2013,Nov-13,5320
2013,Oct-13,5425.5
2013,Sep-13   ,5218.9
2013,Aug-13,5135
2013,Jul-13,5052
2013,Jun-13   ,4802.6
2013,May-13,4926.6
2013,Apr-13,5191.2
2013,Mar-13,4966.5
2013,Feb-13,5104
2013,Jan-13,4878.8
2012,Dec-12, 4648.9
2012,Nov-12,4506
2012,Oct-12,4517
2012,Sep-12,4387
2012,Aug-12,4316.1
2012,Jul-12,4269.2
2012,Jun-12,4094.6
2012,May-12,4076.3
2012,Apr-12,4396.6
2012,Mar-12,4335.2
2012,Feb-12,4298.5
2012,Jan-12,4262.7
2011,Dec-11,4056.6
2011,Nov-11,4119.82
2011,Oct-11,4298.1
2011,Sep-11,4008.6
2011,Aug-11,4296.5
2011,Jul-11,4424.6
2011,Jun-11,4608
2011,May-11,4708.3
2011,Apr-11,4823.2
2011,Mar-11,4837.9
2011,Feb-11,4831.7
2011,Jan-11,4753.9
2010,Dec-10,4745.2
2010,Nov-10,4584.4
2010,Oct-10,4661.6
2010,Sep-10,4582.9
2010,Aug-10,4404.2
2010,Jul-10,4493.5
2010,Jun-10,4301.5
2010,May-10,4429.7
2010,Apr-10,4807.4
2010,Mar-10,4875.5
2010,Feb-10,4637.7
2010,Jan-10,4569.6
