"date","value"
2012-07-01,62666.0453111557
2012-08-01,63434.4708918841
2012-09-01,62485.3586080068
2012-10-01,62441.646626114
2012-11-01,62216.7208940444
2012-12-01,62514.4631014534
2013-01-01,63003.9508960068
2013-02-01,63425.4268378722
2013-03-01,62883.4200534383
2013-04-01,62949.374208972
2013-05-01,63441.4287723246
2013-06-01,63002.8019052956
2013-07-01,63466.3771364528
2013-08-01,63838.7503502382
2013-09-01,63037.508650519
2013-10-01,62681.107266436
2013-11-01,63353.4948096886
2013-12-01,63630.2047547066
2014-01-01,63768.7233750172
2014-02-01,63592.8267143054
2014-03-01,63902.4590163934
2014-04-01,63928.6885245902
2014-05-01,63894.8087431694
2014-06-01,63544.7872774229
2014-07-01,64347.0164469213
2014-08-01,63797.8795704771
2014-09-01,64141.1748781808
2014-10-01,64417.2983216026
2014-11-01,64278.9658906335
2014-12-01,64070.5214806809
2015-01-01,64017.9681167252
2015-02-01,65226.96568495
2015-03-01,65197.0064724919
2015-04-01,65147.5188781014
2015-05-01,65196.3322545847
2015-06-01,65502.0752443433
2015-07-01,65846.5658053287
2015-08-01,65787.7895300576
2015-09-01,65664.0437449987
2015-10-01,66299.1464390504
2015-11-01,65690.4507868765
2015-12-01,65350.2059253355
2016-01-01,65616.5803108808
2016-02-01,65708.7817191444
2016-03-01,66036.7412140575
2016-04-01,66949.1480298189
2016-05-01,66994.6751863685
2016-06-01,67172.6971504307
2016-07-01,66756.9251159708
2016-08-01,67179.1915175613
2016-09-01,66562.3848381153
2016-10-01,66961.1739931561
2016-11-01,66946.6964990787
2016-12-01,67319.3244304792
2017-01-01,67509.4265514533
2017-02-01,67418.0413720869
2017-03-01,67039.7497719275
2017-04-01,67391.3723445849
2017-05-01,67816.2387592858
2017-06-01,67801.5088449532
2017-07-01,67650.6243496358
2017-08-01,67501.1706555671
2017-09-01,67605.9469941823
2017-10-01,68042.0168067227
2017-11-01,69049.6444731739
2017-12-01,68806.7291639913
2018-01-01,68330.4224990369
2018-02-01,69546.6803647104
2018-03-01,68547.5003196522
2018-04-01,69241.0177726634
2018-05-01,70146.784298683
2018-06-01,70696.904064212
2018-07-01,69965.8555229966
2018-08-01,70341.0625557396
2018-09-01,70115.565140175
2018-10-01,70508.8164404415
2018-11-01,70953.8246860332
2018-12-01,70491.7970721858
2019-01-01,70370.8985360929
2019-02-01,69733.0893488137
2019-03-01,70201.9437081913
2019-04-01,69045.0586898902
2019-05-01,69464.3443140225
2019-06-01,68765.3701380176
2019-07-01,69033.5006273526
2019-08-01,69255.834378921
2019-09-01,68482.3456019962
2019-10-01,68700.0623830318
2019-11-01,68113.0380536494
2019-12-01,68530.1115241636
2020-01-01,68685.7496902107
2020-02-01,66797.8934324659
2020-03-01,64543.2098765432
2020-04-01,51656.7901234568
2020-05-01,60722.3456790123
2020-06-01,66093.9073514602
2020-07-01,69149.7985901309
2020-08-01,65181.6465256798
2020-09-01,64124.209743399
2020-10-01,65421.3462253626
2020-11-01,67541.5891905293
2020-12-01,67435.9950859951
2021-01-01,66788.5749385749
2021-02-01,65959.9508599509
2021-03-01,67076.8291193355
2021-04-01,67711.9824111396
2021-05-01,67828.8750458043
2021-06-01,66059.1730326179
2021-07-01,64042.9246998909
2021-08-01,62526.4944828422
2021-09-01,63771.9129493808
2021-10-01,67675.2434772153
2021-11-01,70812.0716604545
2021-12-01,70647.1565950374
2022-01-01,70347.1447227829
2022-02-01,73448.8899442004
2022-03-01,73232.306798373
2022-04-01,75019.05868681
2022-05-01,75972.2254503196
2022-06-01,75443.2012786848
2022-07-01,76986.528142482
2022-08-01,77210.5263157895
2022-09-01,76875.6726457399
2022-10-01,78097.4215246637
2022-11-01,77640.8071748879
2022-12-01,76427.5178866263
2023-01-01,77536.818932306
2023-02-01,77677.9306549257
2023-03-01,76432.0156385752
2023-04-01,77270.199826238
2023-05-01,77242.6151172893
2023-06-01,76618.4989770647
2023-07-01,76774.0928179175
2023-08-01,77338.8607731237
2023-09-01,77645.4119650841
2023-10-01,76775.7078986587
2023-11-01,77232.4888226528
2023-12-01,76277.2664762509
2024-01-01,77554.2155929335
2024-02-01,77265.5241722205
2024-03-01,76178.5976312756
2024-04-01,76541.3478670999
2024-05-01,76674.3527932083
2024-06-01,75915.8800954258
2024-07-01,76130.7955606265
2024-08-01,76334.7163157349
2024-09-01,76156.4893396812
2024-10-01,76869.1782239702
2024-11-01,77300.1448975367
2024-12-01,77467.6169817168
2025-01-01,77958.1654787729
2025-02-01,78101.1259167441
2025-03-01,77429.1709314227
2025-04-01,77552.3029682702
2025-05-01,78238.3828045036
2025-06-01,77958.5492227979
2025-07-01,78298.1814487453
2025-08-01,78243.0153408514
2025-09-01,77482.703298907
2025-10-01,78551.489020355
2025-11-01,79277.0480296801
2025-12-01,78455.4425837321
2026-01-01,78640.4505582137
2026-02-01,78901.7145135566
2026-03-01,79122.9105211406
2026-04-01,78290.8554572271
2026-05-01,79287.610619469
