date,value
2012-07-01,43703.3
2012-08-01,44239.2
2012-09-01,44170.9
2012-10-01,44140
2012-11-01,43981
2012-12-01,44304
2013-01-01,44650.9
2013-02-01,44949.6
2013-03-01,44716.4
2013-04-01,44763.3
2013-05-01,45113.2
2013-06-01,44971.4
2013-07-01,45302.3
2013-08-01,45568.1
2013-09-01,45544.6
2013-10-01,45287.1
2013-11-01,45772.9
2013-12-01,46303.7
2014-01-01,46404.5
2014-02-01,46276.5
2014-03-01,46776.6
2014-04-01,46795.8
2014-05-01,46771
2014-06-01,46749.9
2014-07-01,47340.1
2014-08-01,46936.1
2014-09-01,47387.5
2014-10-01,47591.5
2014-11-01,47489.3
2014-12-01,47425
2015-01-01,47386.1
2015-02-01,48281
2015-03-01,48350.1
2015-04-01,48313.4
2015-05-01,48349.6
2015-06-01,48923.5
2015-07-01,49180.8
2015-08-01,49136.9
2015-09-01,49234.9
2015-10-01,49711.1
2015-11-01,49254.7
2015-12-01,49189.1
2016-01-01,49389.6
2016-02-01,49459
2016-03-01,49606.8
2016-04-01,50292.2
2016-05-01,50326.4
2016-06-01,50681.8
2016-07-01,50368.1
2016-08-01,50686.7
2016-09-01,50574.1
2016-10-01,50877.1
2016-11-01,50866.1
2016-12-01,51418.5
2017-01-01,51563.7
2017-02-01,51493.9
2017-03-01,51439.6
2017-04-01,51709.4
2017-05-01,52035.4
2017-06-01,52125.8
2017-07-01,52009.8
2017-08-01,51894.9
2017-09-01,52293.2
2017-10-01,52630.5
2017-11-01,53409.9
2017-12-01,53579.8
2018-01-01,53208.9
2018-02-01,54156
2018-03-01,53611
2018-04-01,54153.4
2018-05-01,54861.8
2018-06-01,55490
2018-07-01,54916.2
2018-08-01,55210.7
2018-09-01,55272.1
2018-10-01,55582.1
2018-11-01,55932.9
2018-12-01,55857.7
2019-01-01,55761.9
2019-02-01,55256.5
2019-03-01,55621
2019-04-01,54704.4
2019-05-01,55036.6
2019-06-01,54806
2019-07-01,55019.7
2019-08-01,55196.9
2019-09-01,54888.6
2019-10-01,55063.1
2019-11-01,54592.6
2019-12-01,55303.8
2020-01-01,55429.4
2020-02-01,53905.9
2020-03-01,52280
2020-04-01,41842
2020-05-01,49185.1
2020-06-01,52505
2020-07-01,54932.6
2020-08-01,51780.3
2020-09-01,51729
2020-10-01,52775.4
2020-11-01,54485.8
2020-12-01,54892.9
2021-01-01,54365.9
2021-02-01,53691.4
2021-03-01,54915.8
2021-04-01,55435.8
2021-05-01,55531.5
2021-06-01,54479
2021-07-01,52816.2
2021-08-01,51565.6
2021-09-01,53039.1
2021-10-01,56285.5
2021-11-01,58894.4
2021-12-01,59506.1
2022-01-01,59253.4
2022-02-01,61866
2022-03-01,63016.4
2022-04-01,64553.9
2022-05-01,65374.1
2022-06-01,66080.7
2022-07-01,67432.5
2022-08-01,67628.7
2022-09-01,68573.1
2022-10-01,69662.9
2022-11-01,69255.6
2022-12-01,69434.4
2023-01-01,70442.2
2023-02-01,70570.4
2023-03-01,70378.6
2023-04-01,71150.4
2023-05-01,71125
2023-06-01,71155.6
2023-07-01,71300.1
2023-08-01,71824.6
2023-09-01,72940.1
2023-10-01,72123.1
2023-11-01,72552.2
2023-12-01,72104.9
2024-01-01,73312
2024-02-01,73039.1
2024-03-01,72682
2024-04-01,73028.1
2024-05-01,73155
2024-06-01,73190.5
2024-07-01,73397.7
2024-08-01,73594.3
2024-09-01,73582.4
2024-10-01,74271
2024-11-01,74687.4
2024-12-01,74996.4
2025-01-01,75471.3
2025-02-01,75609.7
2025-03-01,75648.3
2025-04-01,75768.6
2025-05-01,76438.9
2025-06-01,76734.6
2025-07-01,77068.9
2025-08-01,77014.6
2025-09-01,77273.5
2025-10-01,78339.4
2025-11-01,79063
2025-12-01,78706.5
2026-01-01,78892.1
2026-02-01,79154.2
2026-03-01,80468
2026-04-01,79621.8
2026-05-01,80635.5
