date,value
1971-07-01,340
1971-08-01,346
1971-09-01,322
1971-10-01,341
1971-11-01,309
1971-12-01,334
1972-01-01,314
1972-02-01,309
1972-03-01,311
1972-04-01,313
1972-05-01,267
1972-06-01,297
1972-07-01,288
1972-08-01,296
1972-09-01,281
1972-10-01,303
1972-11-01,322
1972-12-01,303
1973-01-01,323
1973-02-01,336
1973-03-01,335
1973-04-01,317
1973-05-01,354
1973-06-01,380
1973-07-01,398
1973-08-01,372
1973-09-01,423
1973-10-01,401
1973-11-01,440
1973-12-01,478
1974-01-01,441
1974-02-01,518
1974-03-01,550
1974-04-01,562
1974-05-01,633
1974-06-01,608
1974-07-01,642
1974-08-01,690
1974-09-01,727
1974-10-01,708
1974-11-01,688
1974-12-01,665
1975-01-01,654
1975-02-01,633
1975-03-01,542
1975-04-01,609
1975-05-01,607
1975-06-01,563
1975-07-01,591
1975-08-01,588
1975-09-01,616
1975-10-01,623
1975-11-01,628
1975-12-01,665
1976-01-01,673
1976-02-01,689
1976-03-01,696
1976-04-01,677
1976-05-01,731
1976-06-01,780
1976-07-01,784
1976-08-01,804
1976-09-01,756
1976-10-01,736
1976-11-01,838
1976-12-01,855
1977-01-01,872
1977-02-01,1043
1977-03-01,929
1977-04-01,961
1977-05-01,919
1977-06-01,958
1977-07-01,926
1977-08-01,939
1977-09-01,911
1977-10-01,913
1977-11-01,875
1977-12-01,869
1978-01-01,945
1978-02-01,916
1978-03-01,986
1978-04-01,996
1978-05-01,946
1978-06-01,1003
1978-07-01,1061
1978-08-01,1055
1978-09-01,1050
1978-10-01,1106
1978-11-01,1161
1978-12-01,1151
1979-01-01,1100
1979-02-01,1083
1979-03-01,1113
1979-04-01,1166
1979-05-01,1211
1979-06-01,1270
1979-07-01,1182
1979-08-01,1268
1979-09-01,1178
1979-10-01,1273
1979-11-01,1355
1979-12-01,1347
1980-01-01,1532
1980-02-01,1338
1980-03-01,1364
1980-04-01,1255
1980-05-01,1459
1980-06-01,1455
1980-07-01,1598
1980-08-01,1540
1980-09-01,1608
1980-10-01,1661
1980-11-01,1493
1980-12-01,1616
1981-01-01,1415
1981-02-01,1651
1981-03-01,1766
1981-04-01,1733
1981-05-01,1561
1981-06-01,1805
1981-07-01,1817
1981-08-01,1721
1981-09-01,1674
1981-10-01,1963
1981-11-01,1798
1981-12-01,1680
1982-01-01,1921
1982-02-01,2032
1982-03-01,2123
1982-04-01,2088
1982-05-01,1962
1982-06-01,1928
1982-07-01,2004
1982-08-01,1901
1982-09-01,1770
1982-10-01,2007
1982-11-01,1806
1982-12-01,1821
1983-01-01,1671
1983-02-01,1728
1983-03-01,1843
1983-04-01,1820
1983-05-01,1736
1983-06-01,1868
1983-07-01,1871
1983-08-01,1847
1983-09-01,1807
1983-10-01,1903
1983-11-01,1820
1983-12-01,1921
1984-01-01,1972
1984-02-01,2006
1984-03-01,2183
1984-04-01,1818
1984-05-01,2266
1984-06-01,2290
1984-07-01,2580
1984-08-01,2363
1984-09-01,2581
1984-10-01,2327
1984-11-01,2458
1984-12-01,2366
1985-01-01,2466
1985-02-01,2450
1985-03-01,2402
1985-04-01,2715
1985-05-01,2862
1985-06-01,2944
1985-07-01,3031
1985-08-01,2997
1985-09-01,2981
1985-10-01,2979
1985-11-01,3017
1985-12-01,3271
1986-01-01,3140
1986-02-01,2871
1986-03-01,3130
1986-04-01,3083
1986-05-01,2797
1986-06-01,2786
1986-07-01,2872
1986-08-01,3002
1986-09-01,3341
1986-10-01,3341
1986-11-01,3007
1986-12-01,3139
1987-01-01,3012
1987-02-01,3113
1987-03-01,2973
1987-04-01,3035
1987-05-01,3127
1987-06-01,3283
1987-07-01,3174
1987-08-01,3057
1987-09-01,3144
1987-10-01,3264
1987-11-01,3439
1987-12-01,3576
1988-01-01,3171
1988-02-01,3681
1988-03-01,3604
1988-04-01,3413
1988-05-01,3603
1988-06-01,3379
1988-07-01,3622
1988-08-01,3578
1988-09-01,3456
1988-10-01,3973
1988-11-01,3845
1988-12-01,4029
1989-01-01,3995
1989-02-01,3952
1989-03-01,3908
1989-04-01,4284
1989-05-01,4426
1989-06-01,4310
1989-07-01,4232
1989-08-01,4841
1989-09-01,4468
1989-10-01,4443
1989-11-01,4264
1989-12-01,4152
1990-01-01,4627
1990-02-01,4080
1990-03-01,4255
1990-04-01,4148
1990-05-01,3960
1990-06-01,3886
1990-07-01,4135
1990-08-01,4306
1990-09-01,4030
1990-10-01,4083
1990-11-01,4233
1990-12-01,4398
1991-01-01,4294
1991-02-01,4277
1991-03-01,3896
1991-04-01,4123
1991-05-01,3900
1991-06-01,4014
1991-07-01,4150
1991-08-01,3885
1991-09-01,4231
1991-10-01,4211
1991-11-01,4533
1991-12-01,4130
1992-01-01,4198
1992-02-01,4286
1992-03-01,4272
1992-04-01,4334
1992-05-01,4431
1992-06-01,4653
1992-07-01,4769
1992-08-01,4564
1992-09-01,5053
1992-10-01,5045
1992-11-01,5197
1992-12-01,4973
1993-01-01,4734
1993-02-01,4836
1993-03-01,5243
1993-04-01,5094
1993-05-01,5130
1993-06-01,5197
1993-07-01,5213
1993-08-01,5393
1993-09-01,5542
1993-10-01,5435
1993-11-01,5301
1993-12-01,5548
1994-01-01,5287
1994-02-01,5061
1994-03-01,5530
1994-04-01,5382
1994-05-01,5648
1994-06-01,5483
1994-07-01,5817
1994-08-01,6235
1994-09-01,5953
1994-10-01,6071
1994-11-01,6223
1994-12-01,6403
1995-01-01,6157
1995-02-01,6169
1995-03-01,6557
1995-04-01,6412
1995-05-01,6734
1995-06-01,6527
1995-07-01,6943
1995-08-01,6526
1995-09-01,6179
1995-10-01,6454
1995-11-01,6457
1995-12-01,6609
1996-01-01,6634
1996-02-01,6680
1996-03-01,6324
1996-04-01,6509
1996-05-01,6576
1996-06-01,6200
1996-07-01,6244
1996-08-01,6428
1996-09-01,6379
1996-10-01,6518
1996-11-01,6542
1996-12-01,6562
1997-01-01,6705
1997-02-01,6851
1997-03-01,6458
1997-04-01,6847
1997-05-01,6646
1997-06-01,7201
1997-07-01,7205
1997-08-01,7285
1997-09-01,7222
1997-10-01,7261
1997-11-01,7377
1997-12-01,7826
1998-01-01,7870
1998-02-01,7645
1998-03-01,8140
1998-04-01,7891
1998-05-01,8025
1998-06-01,8427
1998-07-01,8439
1998-08-01,8188
1998-09-01,8327
1998-10-01,8356
1998-11-01,8012
1998-12-01,7897
1999-01-01,8077
1999-02-01,8118
1999-03-01,8372
1999-04-01,8175
1999-05-01,8092
1999-06-01,8033
1999-07-01,8171
1999-08-01,8475
1999-09-01,9139
1999-10-01,8947
1999-11-01,9081
1999-12-01,8899
2000-01-01,9140
2000-02-01,9271
2000-03-01,9356
2000-04-01,8916
2000-05-01,10309
2000-06-01,10552
2000-07-01,10070
2000-08-01,10162
2000-09-01,10086
2000-10-01,10491
2000-11-01,10544
2000-12-01,10009
2001-01-01,9770
2001-02-01,9529
2001-03-01,10046
2001-04-01,10263
2001-05-01,10060
2001-06-01,10027
2001-07-01,9723
2001-08-01,9988
2001-09-01,9986
2001-10-01,10515
2001-11-01,10019
2001-12-01,9829
2002-01-01,10355
2002-02-01,10541
2002-03-01,10178
2002-04-01,10196
2002-05-01,10635
2002-06-01,10506
2002-07-01,10691
2002-08-01,10839
2002-09-01,10762
2002-10-01,11493
2002-11-01,11003
2002-12-01,12436
2003-01-01,11513
2003-02-01,11484
2003-03-01,11228
2003-04-01,11289
2003-05-01,10836
2003-06-01,11117
2003-07-01,10721
