date,value
1983-07-01,2299
1983-08-01,2764
1983-09-01,2484
1983-10-01,2833
1983-11-01,2295
1983-12-01,2463
1984-01-01,2541
1984-02-01,3158
1984-03-01,3370
1984-04-01,2989
1984-05-01,3590
1984-06-01,2908
1984-07-01,3164
1984-08-01,3286
1984-09-01,2853
1984-10-01,3139
1984-11-01,3567
1984-12-01,3386
1985-01-01,3173
1985-02-01,3338
1985-03-01,3429
1985-04-01,3509
1985-05-01,3067
1985-06-01,3495
1985-07-01,2864
1985-08-01,3539
1985-09-01,3005
1985-10-01,3642
1985-11-01,3072
1985-12-01,2669
1986-01-01,2701
1986-02-01,2218
1986-03-01,2320
1986-04-01,2290
1986-05-01,2059
1986-06-01,2889
1986-07-01,3217
1986-08-01,2201
1986-09-01,2162
1986-10-01,2463
1986-11-01,2289
1986-12-01,2348
1987-01-01,2297
1987-02-01,2342
1987-03-01,2151
1987-04-01,2092
1987-05-01,2334
1987-06-01,2577
1987-07-01,2432
1987-08-01,2571
1987-09-01,2446
1987-10-01,2604
1987-11-01,2646
1987-12-01,2648
1988-01-01,3364
1988-02-01,3569
1988-03-01,2992
1988-04-01,3216
1988-05-01,3256
1988-06-01,3559
1988-07-01,3741
1988-08-01,4424
1988-09-01,3843
1988-10-01,4178
1988-11-01,4253
1988-12-01,4008
1989-01-01,3865
1989-02-01,3958
1989-03-01,3939
1989-04-01,4284
1989-05-01,4578
1989-06-01,4789
1989-07-01,3648
1989-08-01,3772
1989-09-01,4017
1989-10-01,3941
1989-11-01,4102
1989-12-01,2628
1990-01-01,3045
1990-02-01,3559
1990-03-01,3170
1990-04-01,3047
1990-05-01,3362
1990-06-01,2833
1990-07-01,2978
1990-08-01,3288
1990-09-01,2970
1990-10-01,3323
1990-11-01,2794
1990-12-01,2300
1991-01-01,2442
1991-02-01,2720
1991-03-01,2644
1991-04-01,2445
1991-05-01,2887
1991-06-01,2647
1991-07-01,3020
1991-08-01,2977
1991-09-01,3116
1991-10-01,3022
1991-11-01,2799
1991-12-01,3284
1992-01-01,3892
1992-02-01,3166
1992-03-01,3563
1992-04-01,3946
1992-05-01,3640
1992-06-01,3750
1992-07-01,3473
1992-08-01,3797
1992-09-01,3559
1992-10-01,3833
1992-11-01,4144
1992-12-01,4571
1993-01-01,4632
1993-02-01,3923
1993-03-01,4363
1993-04-01,4491
1993-05-01,4109
1993-06-01,4074
1993-07-01,4998
1993-08-01,4608
1993-09-01,4536
1993-10-01,4582
1993-11-01,4997
1993-12-01,4534
1994-01-01,5250
1994-02-01,4524
1994-03-01,4611
1994-04-01,4604
1994-05-01,5812
1994-06-01,5369
1994-07-01,4495
1994-08-01,6636
1994-09-01,6503
1994-10-01,5162
1994-11-01,4226
1994-12-01,4786
1995-01-01,4066
1995-02-01,4327
1995-03-01,4208
1995-04-01,3828
1995-05-01,4370
1995-06-01,3622
1995-07-01,3808
1995-08-01,3161
1995-09-01,3198
1995-10-01,2780
1995-11-01,2770
1995-12-01,2965
1996-01-01,2434
1996-02-01,3251
1996-03-01,3106
1996-04-01,2972
1996-05-01,3821
1996-06-01,2944
1996-07-01,3766
1996-08-01,3683
1996-09-01,2693
1996-10-01,4076
1996-11-01,3692
1996-12-01,3219
1997-01-01,3805
1997-02-01,4640
1997-03-01,3848
1997-04-01,3659
1997-05-01,3572
1997-06-01,3768
1997-07-01,3721
1997-08-01,4589
1997-09-01,4044
1997-10-01,3369
1997-11-01,4162
1997-12-01,4189
1998-01-01,4108
1998-02-01,3662
1998-03-01,4291
1998-04-01,4965
1998-05-01,3967
1998-06-01,4584
1998-07-01,4547
1998-08-01,3902
1998-09-01,3714
1998-10-01,3576
1998-11-01,4564
1998-12-01,4587
1999-01-01,3821
1999-02-01,4684
1999-03-01,3881
1999-04-01,4373
1999-05-01,3522
1999-06-01,4218
1999-07-01,4631
1999-08-01,5067
1999-09-01,4179
1999-10-01,4412
1999-11-01,4334
1999-12-01,3878
2000-01-01,5164
2000-02-01,5156
2000-03-01,3878
2000-04-01,4250
2000-05-01,4511
2000-06-01,3880
2000-07-01,3502
2000-08-01,3114
2000-09-01,3170
2000-10-01,3268
2000-11-01,3959
2000-12-01,3795
2001-01-01,3653
2001-02-01,2767
2001-03-01,3193
2001-04-01,3243
2001-05-01,3870
2001-06-01,3604
2001-07-01,3418
2001-08-01,4765
2001-09-01,4682
2001-10-01,4774
2001-11-01,4024
2001-12-01,3897
2002-01-01,3833
2002-02-01,3288
2002-03-01,4284
2002-04-01,5526
2002-05-01,4554
2002-06-01,4315
2002-07-01,3987
2002-08-01,6917
2002-09-01,4354
2002-10-01,8102
2002-11-01,4675
2002-12-01,4645
2003-01-01,5314
2003-02-01,4234
2003-03-01,5501
2003-04-01,5097
2003-05-01,4592
2003-06-01,3856
2003-07-01,4701
2003-08-01,4835
2003-09-01,5942
2003-10-01,6239
2003-11-01,4440
2003-12-01,4337
2004-01-01,4786
2004-02-01,4973
2004-03-01,5388
2004-04-01,5206
2004-05-01,5872
2004-06-01,5149
2004-07-01,5138
2004-08-01,4780
2004-09-01,4137
2004-10-01,4342
2004-11-01,3945
2004-12-01,5021
2005-01-01,4685
2005-02-01,4768
2005-03-01,4182
2005-04-01,4549
2005-05-01,5486
2005-06-01,4674
2005-07-01,3906
2005-08-01,3761
2005-09-01,3934
2005-10-01,3832
2005-11-01,3799
2005-12-01,3818
2006-01-01,3796
2006-02-01,3684
2006-03-01,4099
2006-04-01,3634
2006-05-01,4188
2006-06-01,4628
2006-07-01,4973
2006-08-01,3673
2006-09-01,3784
2006-10-01,3814
2006-11-01,3609
2006-12-01,3592
2007-01-01,3843
2007-02-01,5176
2007-03-01,3524
2007-04-01,3718
2007-05-01,3742
2007-06-01,4513
2007-07-01,4284
2007-08-01,3946
2007-09-01,4833
2007-10-01,4912
2007-11-01,5059
2007-12-01,4867
2008-01-01,4701
2008-02-01,4331
2008-03-01,3621
2008-04-01,4490
2008-05-01,4151
2008-06-01,4732
2008-07-01,4532
2008-08-01,4188
2008-09-01,3907
2008-10-01,3727
2008-11-01,3095
2008-12-01,2756
2009-01-01,2123
2009-02-01,3290
2009-03-01,3127
2009-04-01,3250
2009-05-01,2350
2009-06-01,2978
2009-07-01,3846
2009-08-01,3269
2009-09-01,4280
2009-10-01,3283
2009-11-01,4802
2009-12-01,4874
2010-01-01,5376
2010-02-01,5115
2010-03-01,6678
2010-04-01,5881
2010-05-01,5409
2010-06-01,5147
2010-07-01,6141
2010-08-01,6347
2010-09-01,4939
2010-10-01,6751
2010-11-01,5613
2010-12-01,6233
2011-01-01,4873
2011-02-01,4520
2011-03-01,5650
2011-04-01,5645
2011-05-01,4655
2011-06-01,4481
2011-07-01,5339
2011-08-01,6845
2011-09-01,4457
2011-10-01,4045
2011-11-01,3958
2011-12-01,3982
2012-01-01,3327
2012-02-01,4221
2012-03-01,4116
2012-04-01,4106
2012-05-01,6593
2012-06-01,7546
2012-07-01,3899
2012-08-01,5404
2012-09-01,7381
2012-10-01,6233
2012-11-01,6089
2012-12-01,6112
2013-01-01,4685
2013-02-01,5408
2013-03-01,5245
2013-04-01,6723
2013-05-01,5705
2013-06-01,5331
2013-07-01,6357
2013-08-01,6516
2013-09-01,9764
2013-10-01,8627
2013-11-01,7950
2013-12-01,7772
2014-01-01,7285
2014-02-01,7076
2014-03-01,6536
2014-04-01,6341
2014-05-01,6863
2014-06-01,6898
2014-07-01,7007
2014-08-01,8735
2014-09-01,6809
2014-10-01,8015
2014-11-01,10385
2014-12-01,10188
2015-01-01,9943
2015-02-01,9940
2015-03-01,11049
2015-04-01,9305
2015-05-01,11153
2015-06-01,9319
2015-07-01,9747
2015-08-01,9260
2015-09-01,10328
2015-10-01,11784
2015-11-01,9093
2015-12-01,9715
2016-01-01,8921
2016-02-01,9971
2016-03-01,10233
2016-04-01,10676
2016-05-01,10116
2016-06-01,8816
2016-07-01,11643
2016-08-01,12129
2016-09-01,9385
2016-10-01,6868
2016-11-01,8609
2016-12-01,8916
2017-01-01,7763
2017-02-01,9467
2017-03-01,7031
2017-04-01,8598
2017-05-01,6983
2017-06-01,8670
2017-07-01,8824
2017-08-01,9044
2017-09-01,9421
2017-10-01,9368
2017-11-01,12901
2017-12-01,7589
2018-01-01,9437
2018-02-01,8868
2018-03-01,9217
2018-04-01,7629
2018-05-01,7817
2018-06-01,9308
2018-07-01,8312
2018-08-01,6428
2018-09-01,6955
2018-10-01,6999
2018-11-01,5719
2018-12-01,5087
2019-01-01,5206
2019-02-01,7671
