date,value
1965-01-01,66466
1965-02-01,65321
1965-03-01,63815
1965-04-01,59724
1965-05-01,53919
1965-06-01,55158
1965-07-01,64537
1965-08-01,69899
1965-09-01,70548
1965-10-01,68089
1965-11-01,64654
1965-12-01,55350
1966-01-01,34810
1966-02-01,48702
1966-03-01,58204
1966-04-01,41300
1966-05-01,51114
1966-06-01,69723
1966-07-01,67195
1966-08-01,54884
1966-09-01,58007
1966-10-01,66345
1966-11-01,62445
1966-12-01,46430
1967-01-01,77843
1967-02-01,71425
1967-03-01,59035
1967-04-01,67654
1967-05-01,74439
1967-06-01,68400
1967-07-01,58546
1967-08-01,64838
1967-09-01,102796
1967-10-01,64854
1967-11-01,75667
1967-12-01,79112
1968-01-01,74143
1968-02-01,70042
1968-03-01,78767
1968-04-01,78535
1968-05-01,90642
1968-06-01,73597
1968-07-01,68205
1968-08-01,88620
1968-09-01,64417
1968-10-01,60803
1968-11-01,62664
1968-12-01,75520
1969-01-01,65969
1969-02-01,91154
1969-03-01,77858
1969-04-01,112866
1969-05-01,78319
1969-06-01,93380
1969-07-01,88903
1969-08-01,87600
1969-09-01,99813
1969-10-01,95665
1969-11-01,93913
1969-12-01,123880
1970-01-01,123092
1970-02-01,89565
1970-03-01,120497
1970-04-01,135752
1970-05-01,104265
1970-06-01,110585
1970-07-01,119478
1970-08-01,91137
1970-09-01,117765
1970-10-01,117694
1970-11-01,120170
1970-12-01,101873
1971-01-01,127991
1971-02-01,123268
1971-03-01,106729
1971-04-01,107092
1971-05-01,111392
1971-06-01,81935
1971-07-01,97477
1971-08-01,157432
1971-09-01,155240
1971-10-01,106658
1971-11-01,120845
1971-12-01,110122
1972-01-01,86246
1972-02-01,95218
1972-03-01,106452
1972-04-01,102896
1972-05-01,125292
1972-06-01,119293
1972-07-01,181026
1972-08-01,114409
1972-09-01,112839
1972-10-01,148501
1972-11-01,111412
1972-12-01,123338
1973-01-01,121242
1973-02-01,167313
1973-03-01,186654
1973-04-01,135193
1973-05-01,100597
1973-06-01,158866
1973-07-01,159953
1973-08-01,168316
1973-09-01,144313
1973-10-01,158867
1973-11-01,173469
1973-12-01,149017
1974-01-01,162403
1974-02-01,177452
1974-03-01,156664
1974-04-01,123458
1974-05-01,142313
1974-06-01,165416
1974-07-01,186242
1974-08-01,146649
1974-09-01,122505
1974-10-01,147878
1974-11-01,149960
1974-12-01,128472
1975-01-01,138193
1975-02-01,106185
1975-03-01,135381
1975-04-01,175345
1975-05-01,160665
1975-06-01,174173
1975-07-01,154043
1975-08-01,147959
1975-09-01,256934
1975-10-01,108477
1975-11-01,127698
1975-12-01,151497
1976-01-01,151432
1976-02-01,132311
1976-03-01,159403
1976-04-01,181342
1976-05-01,212015
1976-06-01,149896
1976-07-01,163767
1976-08-01,141268
1976-09-01,193134
1976-10-01,161883
1976-11-01,180463
1976-12-01,213432
1977-01-01,182626
1977-02-01,187587
1977-03-01,200430
1977-04-01,207150
1977-05-01,220260
1977-06-01,155255
1977-07-01,194276
1977-08-01,210461
1977-09-01,195033
1977-10-01,219666
1977-11-01,205174
1977-12-01,204559
1978-01-01,217319
1978-02-01,202329
1978-03-01,196148
1978-04-01,241830
1978-05-01,205669
1978-06-01,209318
1978-07-01,189991
1978-08-01,244165
1978-09-01,225441
1978-10-01,235224
1978-11-01,257971
1978-12-01,163812
1979-01-01,218498
1979-02-01,299689
1979-03-01,220523
1979-04-01,204885
1979-05-01,192228
1979-06-01,236753
1979-07-01,202395
1979-08-01,211088
1979-09-01,255356
1979-10-01,187320
1979-11-01,392756
1979-12-01,234153
1980-01-01,263291
1980-02-01,292972
1980-03-01,249366
1980-04-01,217657
1980-05-01,224650
1980-06-01,264795
1980-07-01,284620
1980-08-01,294124
1980-09-01,279378
1980-10-01,288485
1980-11-01,267319
1980-12-01,264636
1981-01-01,262879
1981-02-01,295692
1981-03-01,293831
1981-04-01,311146
1981-05-01,356133
1981-06-01,313885
1981-07-01,374967
1981-08-01,305458
1981-09-01,621192
1981-10-01,308993
1981-11-01,213432
1981-12-01,431603
1982-01-01,354776
1982-02-01,369879
1982-03-01,392074
1982-04-01,298249
1982-05-01,340197
1982-06-01,401171
1982-07-01,324913
1982-08-01,302256
1982-09-01,280955
1982-10-01,297857
1982-11-01,268468
1982-12-01,314279
1983-01-01,322162
1983-02-01,470202
1983-03-01,290540
1983-04-01,294082
1983-05-01,342149
1983-06-01,324147
1983-07-01,335138
1983-08-01,398594
1983-09-01,389221
1983-10-01,413277
1983-11-01,353502
1983-12-01,336589
1984-01-01,363138
1984-02-01,378750
1984-03-01,439917
1984-04-01,459611
1984-05-01,473634
1984-06-01,412506
1984-07-01,501708
1984-08-01,407464
1984-09-01,382407
1984-10-01,485787
1984-11-01,660980
1984-12-01,604509
1985-01-01,512924
1985-02-01,585484
1985-03-01,650261
1985-04-01,610906
1985-05-01,577089
1985-06-01,678373
1985-07-01,605270
1985-08-01,780010
1985-09-01,727884
1985-10-01,658360
1985-11-01,752783
1985-12-01,600111
1986-01-01,702996
1986-02-01,573457
1986-03-01,489095
1986-04-01,943132
1986-05-01,577010
1986-06-01,1007636
1986-07-01,632524
1986-08-01,749031
1986-09-01,610162
1986-10-01,656811
1986-11-01,706125
1986-12-01,766164
1987-01-01,682224
1987-02-01,646444
1987-03-01,823797
1987-04-01,843510
1987-05-01,560033
1987-06-01,805736
1987-07-01,817291
1987-08-01,1050639
1987-09-01,840239
1987-10-01,869376
1987-11-01,839226
1987-12-01,933703
1988-01-01,837551
1988-02-01,1148783
1988-03-01,775893
1988-04-01,998542
1988-05-01,1203942
1988-06-01,950610
1988-07-01,1234158
1988-08-01,854613
1988-09-01,1012568
1988-10-01,850697
1988-11-01,1075207
1988-12-01,1156077
1989-01-01,1426227
1989-02-01,1005315
1989-03-01,1332351
1989-04-01,1288811
1989-05-01,1180679
1989-06-01,1135036
1989-07-01,1071519
1989-08-01,986738
1989-09-01,1225390
1989-10-01,1310967
1989-11-01,1133617
1989-12-01,725751
1990-01-01,1771089
1990-02-01,1043764
1990-03-01,987496
1990-04-01,963868
1990-05-01,1094018
1990-06-01,945419
1990-07-01,707536
1990-08-01,825291
1990-09-01,896159
1990-10-01,756470
1990-11-01,869498
1990-12-01,584365
1991-01-01,608730
1991-02-01,1060432
1991-03-01,615647
1991-04-01,627927
1991-05-01,693915
1991-06-01,682484
1991-07-01,758976
1991-08-01,609981
1991-09-01,607323
1991-10-01,655690
1991-11-01,491872
1991-12-01,595518
1992-01-01,771920
1992-02-01,515964
1992-03-01,625458
1992-04-01,488265
1992-05-01,586025
1992-06-01,520963
1992-07-01,537271
1992-08-01,494053
1992-09-01,548780
1992-10-01,665245
1992-11-01,670482
1992-12-01,720275
1993-01-01,789088
1993-02-01,600942
1993-03-01,707521
1993-04-01,654606
1993-05-01,661803
1993-06-01,657860
1993-07-01,641944
1993-08-01,787070
1993-09-01,876838
1993-10-01,558586
1993-11-01,686162
1993-12-01,806054
1994-01-01,641452
1994-02-01,787727
1994-03-01,634958
1994-04-01,740911
1994-05-01,562971
1994-06-01,1053886
1994-07-01,699166
1994-08-01,728640
1994-09-01,574041
1994-10-01,772558
1994-11-01,709768
1994-12-01,641172
1995-01-01,699243
1995-02-01,881407
1995-03-01,782337
1995-04-01,1319334
1995-05-01,847827
1995-06-01,1008970
1995-07-01,690736
1995-08-01,919748
1995-09-01,936941
1995-10-01,1010789
1995-11-01,841027
1995-12-01,751610
1996-01-01,821061
1996-02-01,1012216
1996-03-01,878039
1996-04-01,910735
1996-05-01,1012553
1996-06-01,880928
1996-07-01,925825
1996-08-01,972452
1996-09-01,1169457
1996-10-01,1196476
1996-11-01,1750451
1996-12-01,1106330
1997-01-01,1062205
1997-02-01,927707
1997-03-01,784206
1997-04-01,908989
1997-05-01,887517
1997-06-01,1024495
1997-07-01,1761011
1997-08-01,1214514
1997-09-01,1044584
1997-10-01,1059690
1997-11-01,1056140
1997-12-01,1173230
1998-01-01,1083525
1998-02-01,1120692
1998-03-01,1039151
1998-04-01,1322209
1998-05-01,1496361
1998-06-01,1193988
1998-07-01,906022
1998-08-01,1232975
1998-09-01,1011644
1998-10-01,1003487
1998-11-01,1206307
1998-12-01,868639
1999-01-01,1117185
1999-02-01,1186122
1999-03-01,1181225
1999-04-01,838691
1999-05-01,945139
1999-06-01,1092311
1999-07-01,1292035
1999-08-01,1004171
1999-09-01,885235
1999-10-01,825570
1999-11-01,983772
1999-12-01,951482
2000-01-01,906752
2000-02-01,918665
2000-03-01,1042423
2000-04-01,1381437
2000-05-01,1016612
2000-06-01,1023467
2000-07-01,1181024
2000-08-01,923099
2000-09-01,1010426
2000-10-01,928825
2000-11-01,983165
2000-12-01,1051700
2001-01-01,1219072
2001-02-01,894672
2001-03-01,1351154
2001-04-01,1064498
2001-05-01,1390939
2001-06-01,984609
2001-07-01,1100860
2001-08-01,939139
2001-09-01,1204563
2001-10-01,1115846
2001-11-01,1109859
2001-12-01,1250780
2002-01-01,1053715
2002-02-01,1404845
2002-03-01,1070005
2002-04-01,1458306
2002-05-01,1174015
2002-06-01,971171
2002-07-01,994227
2002-08-01,1428936
2002-09-01,1350353
2002-10-01,1359921
2002-11-01,1881708
2002-12-01,1370785
2003-01-01,1579764
2003-02-01,1538395
2003-03-01,1429301
2003-04-01,1436158
2003-05-01,1461301
2003-06-01,1318220
2003-07-01,1494764
2003-08-01,1447572
2003-09-01,1392043
2003-10-01,1626156
2003-11-01,1064087
2003-12-01,1544184
2004-01-01,1393064
2004-02-01,1354115
2004-03-01,1408915
2004-04-01,1401132
2004-05-01,1605924
2004-06-01,1480392
2004-07-01,1357150
2004-08-01,1741831
2004-09-01,1556426
2004-10-01,1624613
2004-11-01,1579044
2004-12-01,1424332
2005-01-01,1535150
2005-02-01,1768168
2005-03-01,1963066
2005-04-01,1959092
2005-05-01,1615454
2005-06-01,2007434
2005-07-01,2142241
2005-08-01,1725136
2005-09-01,2097615
2005-10-01,1949704
2005-11-01,2256760
2005-12-01,2171933
2006-01-01,1645533
2006-02-01,2033445
2006-03-01,2248062
2006-04-01,2330536
2006-05-01,2298735
2006-06-01,2684825
2006-07-01,2344239
2006-08-01,1876478
2006-09-01,2299441
2006-10-01,2262691
2006-11-01,2382009
2006-12-01,2457797
2007-01-01,2642807
2007-02-01,2484142
2007-03-01,2700163
2007-04-01,2315857
2007-05-01,2365383
2007-06-01,2563988
2007-07-01,2881248
2007-08-01,2216051
2007-09-01,2820206
2007-10-01,3857142
2007-11-01,3306444
2007-12-01,3015976
2008-01-01,3736562
2008-02-01,2884904
2008-03-01,2889245
2008-04-01,2962905
2008-05-01,3523587
2008-06-01,3352150
2008-07-01,3898809
2008-08-01,3729983
2008-09-01,3193078
2008-10-01,2084649
2008-11-01,2385426
2008-12-01,1757317
2009-01-01,2203314
2009-02-01,2444583
2009-03-01,2304354
2009-04-01,2143163
2009-05-01,1864809
2009-06-01,3257331
2009-07-01,3300496
2009-08-01,5774010
2009-09-01,4957768
2009-10-01,3356312
2009-11-01,5050889
2009-12-01,4086951
2010-01-01,2908861
2010-02-01,2253188
2010-03-01,2473036
2010-04-01,2100015
2010-05-01,2048001
2010-06-01,2455758
2010-07-01,2031724
2010-08-01,2281452
2010-09-01,2849839
