date,value
1978-02-01,918.1082424
1978-03-01,907.8182055
1978-04-01,911.2148131
1978-05-01,914.333069
1978-06-01,929.6837145
1978-07-01,933.8893858
1978-08-01,938.1438426
1978-09-01,923.8190169
1978-10-01,928.0344791
1978-11-01,924.447359
1978-12-01,940.484248
1979-01-01,930.5895281
1979-02-01,934.0609662
1979-03-01,931.4418497
1979-04-01,943.4491119
1979-05-01,951.7061377
1979-06-01,946.2635034
1979-07-01,948.9974894
1979-08-01,947.9389134
1979-09-01,955.1421757
1979-10-01,965.9531753
1979-11-01,972.7568118
1979-12-01,972.56754
1980-01-01,987.3662804
1980-02-01,979.3387025
1980-03-01,979.9760761
1980-04-01,985.6089939
1980-05-01,964.4135712
1980-06-01,992.4743548
1980-07-01,1011.9893981
1980-08-01,1008.6226645
1980-09-01,1021.9773898
1980-10-01,1010.5182204
1980-11-01,1030.5470279
1980-12-01,1024.4723306
1981-01-01,1016.6056056
1981-02-01,1023.7318316
1981-03-01,1036.4495137
1981-04-01,1024.6897621
1981-05-01,1041.6478448
1981-06-01,1040.1661174
1981-07-01,1035.1194188
1981-08-01,1041.1057029
1981-09-01,1048.2076280000001
1981-10-01,1039.4191426
1981-11-01,1030.2954088
1981-12-01,1016.1549776
1982-01-01,1034.0008848
1982-02-01,1032.6732507
1982-03-01,1039.8934424
1982-04-01,1052.6531483
1982-05-01,1046.9004457
1982-06-01,1046.6621742
1982-07-01,1060.8390698
1982-08-01,1075.865275
1982-09-01,1067.6014636
1982-10-01,1101.0748352
1982-11-01,1077.4318184
1982-12-01,1097.4423112
1983-01-01,1095.804561
1983-02-01,1104.9101722
1983-03-01,1095.2719941
1983-04-01,1065.6692389
1983-05-01,1075.9236605
1983-06-01,1080.1559238
1983-07-01,1074.1353169
1983-08-01,1080.945618
1983-09-01,1054.6844562000001
1983-10-01,1074.9022389
1983-11-01,1091.2853867
1983-12-01,1104.6210848
1984-01-01,1104.5240506
1984-02-01,1109.6634119
1984-03-01,1119.7507341
1984-04-01,1134.7756245
1984-05-01,1140.0652098
1984-06-01,1137.8996705
1984-07-01,1152.1027748
1984-08-01,1135.0054943
1984-09-01,1172.0433148
1984-10-01,1162.1217552
1984-11-01,1151.0142135
1984-12-01,1145.0071889
1985-01-01,1154.4319539
1985-02-01,1186.2978074
1985-03-01,1156.9616901
1985-04-01,1176.2859393
1985-05-01,1189.3380762
1985-06-01,1193.0992918
1985-07-01,1202.8421941
1985-08-01,1206.4747304
1985-09-01,1219.9635381
1985-10-01,1232.0339346
1985-11-01,1257.9009279
1985-12-01,1231.127141
1986-01-01,1240.1950877
1986-02-01,1237.3786627
1986-03-01,1263.8103261
1986-04-01,1318.4717752
1986-05-01,1310.5575125
1986-06-01,1318.2482387
1986-07-01,1335.8816351
1986-08-01,1300.0580191
1986-09-01,1320.5474505
1986-10-01,1331.403425
1986-11-01,1330.8360411
1986-12-01,1361.6931575
1987-01-01,1354.2814798
1987-02-01,1367.9064185
1987-03-01,1374.0135216
1987-04-01,1373.6197114
1987-05-01,1380.7234688
1987-06-01,1395.7366557
1987-07-01,1394.8467264
1987-08-01,1417.6395466
1987-09-01,1404.0732802
1987-10-01,1401.0814808
1987-11-01,1428.2971078
1987-12-01,1430.9326541
1988-01-01,1445.5345652
1988-02-01,1424.5501915
1988-03-01,1450.6519332
1988-04-01,1453.1521317
1988-05-01,1449.4446758
1988-06-01,1460.8913149
1988-07-01,1457.0205437
1988-08-01,1468.4716665
1988-09-01,1485.5701564
1988-10-01,1454.9238914
1988-11-01,1487.3395746
1988-12-01,1511.8974893
1989-01-01,1526.0303298
1989-02-01,1542.2273186
1989-03-01,1539.5035325
1989-04-01,1538.5984782
1989-05-01,1576.7415411
1989-06-01,1565.7047561
1989-07-01,1590.2060009
1989-08-01,1607.4204031
1989-09-01,1630.0121722
1989-10-01,1617.2962378
1989-11-01,1630.1596271
1989-12-01,1640.8187626
1990-01-01,1633.0948534
1990-02-01,1644.6180295
1990-03-01,1648.8806797
1990-04-01,1664.0157243
1990-05-01,1666.3619385
1990-06-01,1667.0773149
1990-07-01,1667.6338122
1990-08-01,1654.694741
1990-09-01,1648.1454916
1990-10-01,1677.9181942
1990-11-01,1676.6556031
1990-12-01,1682.461157
1991-01-01,1663.8546841
1991-02-01,1714.5385704
1991-03-01,1703.9779339
1991-04-01,1720.4581625
1991-05-01,1713.1570863
1991-06-01,1712.8396533
1991-07-01,1703.6560858
1991-08-01,1707.0925564
1991-09-01,1710.8442987
1991-10-01,1676.6534424
1991-11-01,1738.2951394
1991-12-01,1719.3115469
1992-01-01,1736.6894276
1992-02-01,1766.2655292
1992-03-01,1762.583761
1992-04-01,1773.3409787
1992-05-01,1777.362187
1992-06-01,1804.7900167
1992-07-01,1808.6019709
1992-08-01,1832.9555143
1992-09-01,1813.7674048
1992-10-01,1831.2720906
1992-11-01,1790.1049867
1992-12-01,1788.4458541
1993-01-01,1801.6399927
1993-02-01,1760.6764335
1993-03-01,1771.0542957
1993-04-01,1754.4037207
1993-05-01,1759.7621452
1993-06-01,1747.7578149
1993-07-01,1774.6812802
1993-08-01,1783.5564323
1993-09-01,1808.2288018
1993-10-01,1816.9822012
1993-11-01,1820.9429397
1993-12-01,1817.8329599
1994-01-01,1846.8597361
1994-02-01,1851.2854389
1994-03-01,1859.1288826
1994-04-01,1860.803107
1994-05-01,1871.4356169
1994-06-01,1859.0945789
1994-07-01,1923.9880158
1994-08-01,1905.4353137
1994-09-01,1897.2453924
1994-10-01,1933.0745866
1994-11-01,1916.8618799
1994-12-01,1963.8241106
1995-01-01,1964.6339107
1995-02-01,1957.3481565
1995-03-01,1979.2621411
1995-04-01,1980.3039056
1995-05-01,1974.4773389
1995-06-01,1989.08463
1995-07-01,2002.0579552
1995-08-01,2000.0164913
1995-09-01,1983.2375268
1995-10-01,1999.4911647
1995-11-01,2035.3150904
1995-12-01,2035.3272202
1996-01-01,2007.090955
1996-02-01,2037.6070683
1996-03-01,2031.7373248
1996-04-01,2034.0173175
1996-05-01,2038.9369334
1996-06-01,2049.1550736
1996-07-01,2038.0161643
1996-08-01,2054.6940391
