date,value
1978-02-01,163.9047886
1978-03-01,155.747779
1978-04-01,166.5858787
1978-05-01,168.4156196
1978-06-01,171.5740848
1978-07-01,176.0770315
1978-08-01,175.7554243
1978-09-01,170.83728
1978-10-01,167.9423563
1978-11-01,162.2553451
1978-12-01,161.1218419
1979-01-01,165.2996594
1979-02-01,170.8123904
1979-03-01,162.7783556
1979-04-01,184.8469921
1979-05-01,178.1976082
1979-06-01,178.4731514
1979-07-01,177.5144566
1979-08-01,173.9724231
1979-09-01,174.7305424
1979-10-01,176.1317885
1979-11-01,183.929164
1979-12-01,190.1406951
1980-01-01,190.0977946
1980-02-01,188.355248
1980-03-01,193.4363994
1980-04-01,190.1901466
1980-05-01,189.0627435
1980-06-01,195.809405
1980-07-01,193.1311258
1980-08-01,200.8200202
1980-09-01,202.5283844
1980-10-01,197.4999317
1980-11-01,195.3003761
1980-12-01,188.5727848
1981-01-01,193.1768511
1981-02-01,189.8619354
1981-03-01,193.6900193
1981-04-01,188.1331144
1981-05-01,189.2568709
1981-06-01,180.3154062
1981-07-01,197.8388521
1981-08-01,184.7789103
1981-09-01,186.0681271
1981-10-01,190.1855921
1981-11-01,192.2006164
1981-12-01,199.365196
1982-01-01,204.441159
1982-02-01,197.2939174
1982-03-01,202.5129043
1982-04-01,208.9123888
1982-05-01,218.0159205
1982-06-01,214.0721102
1982-07-01,223.4380722
1982-08-01,236.8502105
1982-09-01,236.4880742
1982-10-01,271.2026968
1982-11-01,284.3453562
1982-12-01,274.3935639
1983-01-01,262.5556816
1983-02-01,270.3274613
1983-03-01,281.2325191
1983-04-01,263.4747191
1983-05-01,290.097174
1983-06-01,286.5268163
1983-07-01,276.6772463
1983-08-01,273.9563683
1983-09-01,271.0726852
1983-10-01,256.5494999
1983-11-01,255.550452
1983-12-01,239.2577081
1984-01-01,253.0535515
1984-02-01,250.6627148
1984-03-01,253.8922515
1984-04-01,261.5569619
1984-05-01,255.5384502
1984-06-01,250.7850425
1984-07-01,255.644044
1984-08-01,246.3807209
1984-09-01,253.2829436
1984-10-01,254.6409292
1984-11-01,248.2185225
1984-12-01,231.9851054
1985-01-01,247.8529083
1985-02-01,256.0793246
1985-03-01,237.7672508
1985-04-01,238.4799398
1985-05-01,227.7267171
